,,left_side,right_side,similarity
17,87,"Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0","Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0",0.086252701
17,88,"Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0","Bed and Breakfast Inn Seattle 1808 E Denny Way, Seattle, WA 98122_0",0.079031238
17,89,"Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0","Best Western Plus Pioneer Square Hotel Downtown 77 Yesler Way, Seattle, WA 98104_0",0.06715912
18,90,"The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0","The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0",1
18,91,"The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0","Seattle Marriott Waterfront 2100 Alaskan Way, Seattle, WA 98121_0",0.316142241
18,92,"The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.090275823
18,93,"The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.090275823
18,94,"The Edgewater Hotel Seattle 2411 Alaskan Way, Seattle, WA 98121_0","Mayflower Park Hotel 405 Olive Way, Seattle, WA 98101_0",0.08937157
19,95,"SpringHill Suites Seattle Downtown 1800 Yale Ave, Seattle, WA 98101_0","SpringHill Suites Seattle Downtown 1800 Yale Ave, Seattle, WA 98101_0",1
19,96,"SpringHill Suites Seattle Downtown 1800 Yale Ave, Seattle, WA 98101_0","La Quinta Inn & Suites Seattle Downtown 2224 8th Ave, Seattle, WA 98121_0",0.116564106
19,97,"SpringHill Suites Seattle Downtown 1800 Yale Ave, Seattle, WA 98101_0","Crowne Plaza Seattle Downtown 1113 6th Ave, Seattle, WA 98101_0",0.113347192
19,98,"SpringHill Suites Seattle Downtown 1800 Yale Ave, Seattle, WA 98101_0","W Seattle 1112 4th Ave, Seattle, WA 98101_0",0.10447681
19,99,"SpringHill Suites Seattle Downtown 1800 Yale Ave, Seattle, WA 98101_0","Staybridge Suites Seattle Downtown - Lake Union 1119 Mercer St, Seattle, WA 98109_0",0.102017548
20,100,"Fairmont Olympic Hotel 411 University St, Seattle, WA 98101_0","Fairmont Olympic Hotel 411 University St, Seattle, WA 98101_0",1
20,101,"Fairmont Olympic Hotel 411 University St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.123241923
20,102,"Fairmont Olympic Hotel 411 University St, Seattle, WA 98101_0","Hotel Max 620 Stewart St, Seattle, WA 98101_0",0.120018123
20,103,"Fairmont Olympic Hotel 411 University St, Seattle, WA 98101_0","Thompson Seattle 110 Stewart St, Seattle, WA 98101_0",0.113651654
20,104,"Fairmont Olympic Hotel 411 University St, Seattle, WA 98101_0","Palihotel Seattle 107 Pine St, Seattle, WA 98101_0",0.11187972
21,105,"La Quinta Inn & Suites Seattle Downtown 2224 8th Ave, Seattle, WA 98121_0","La Quinta Inn & Suites Seattle Downtown 2224 8th Ave, Seattle, WA 98121_0",1
21,106,"La Quinta Inn & Suites Seattle Downtown 2224 8th Ave, Seattle, WA 98121_0","The Loyal Inn 2301 8th Ave, Seattle, WA 98121_0",0.210473347
21,107,"La Quinta Inn & Suites Seattle Downtown 2224 8th Ave, Seattle, WA 98121_0","Hyatt At Olive 9 1635 8th Ave, Seattle, WA 98101_0",0.148789531
21,108,"La Quinta Inn & Suites Seattle Downtown 2224 8th Ave, Seattle, WA 98121_0","Hyatt At Olive 8 1635 8th Ave, Seattle, WA 98101_0",0.148789531
21,109,"La Quinta Inn & Suites Seattle Downtown 2224 8th Ave, Seattle, WA 98121_0","SpringHill Suites Seattle Downtown 1800 Yale Ave, Seattle, WA 98101_0",0.116564106
22,110,"Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0","Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0",1
22,111,"Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0","Courtyard by Marriott Seattle Downtown/Pioneer Square 612 2nd Ave, Seattle, WA 98104_0",0.25658234
22,112,"Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0","Homewood Suites by Hilton Seattle Downtown 206 Western Ave W, Seattle, WA 98119_0",0.226694291
22,113,"Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0","Embassy Suites by Hilton Seattle Tacoma International Airport 15920 W Valley Hwy, Seattle, WA 98188_0",0.223176176
22,114,"Embassy Suites by Hilton Seattle Downtown Pioneer Square 255 S King St, Seattle, WA 98104_0","Hostelling International Seattle at the American Hotel 520 S King St, Seattle, WA 98104_0",0.18134876
23,115,"Pan Pacific Seattle 2125 Terry Ave, Seattle, WA 98121_0","Pan Pacific Seattle 2125 Terry Ave, Seattle, WA 98121_0",1
23,116,"Pan Pacific Seattle 2125 Terry Ave, Seattle, WA 98121_0","Residence Inn by Marriott Seattle Downtown/Convention Center 1815 Terry Ave, Seattle, WA 98101_0",0.149937228
23,117,"Pan Pacific Seattle 2125 Terry Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.105837088
23,118,"Pan Pacific Seattle 2125 Terry Ave, Seattle, WA 98121_0","Ace Hotel Seattle 2423 1st Ave, Seattle, WA 98121_0",0.105837088
23,119,"Pan Pacific Seattle 2125 Terry Ave, Seattle, WA 98121_0","Hotel Andra 2000 4th Ave, Seattle, WA 98121_0",0.104830917
24,120,"Kimpton Hotel Vintage Seattle 1100 5th Ave, Seattle, WA 98101_0","Kimpton Hotel Vintage Seattle 1100 5th Ave, Seattle, WA 98101_0",1
24,121,"Kimpton Hotel Vintage Seattle 1100 5th Ave, Seattle, WA 98101_0","Kings Inn 2106 5th Ave, Seattle, WA 98121_0",0.170029137
24,122,"Kimpton Hotel Vintage Seattle 1100 5th Ave, Seattle, WA 98101_0","Hyatt House Seattle 201 5th Ave N, Seattle, WA 98109_0",0.15878991
24,123,"Kimpton Hotel Vintage Seattle 1100 5th Ave, Seattle, WA 98101_0","Hotel Five - A Staypineapple Hotel 2200 5th Ave, Seattle, WA 98121_0",0.155129196
