uniqueid,suffix,name,address,city,state,partner
1588,A,University Avenue,352 University Ave SW,Atlanta,GA,
1589,A,University Estates,952 Palmetto Street,Atlanta,GA,University Community Development
1590,A,University Estates,952 Palmetto Street,Atlanta,GA,University Community Development
1591,A,University Estates Infill,,Atlanta,GA,University Community Development
1592,A,University Estates Infill,,Atlanta,GA,University Community Development
1593,A,University Estates Rehab,,Atlanta,GA,University Community Development
1594,A,Vacant Housing Rehab,79 Newcastle St. SW,Atlanta,GA,University Community Development
1595,A,VEO Village,"382 Lanier Street, NW",Atlanta,GA,Veterans Empowerment Organization
1596,A,VERANDA CARVER SENIOR BUILDING,217 THIRKIELD AVE SW,ATLANTA,GA,Carver Redevelopment LLC
1597,A,"VILLAGES AT CARVER, PHASE V",178 MOURY AVE SW,ATLANTA,GA,Carver Redevelopment LLC
1598,A,"Villages at East Lake, Phase II","100 Greenhaven Dr, 1300 Forest Lakes Ave, 2000 Links Dr, et al",Atlanta,GA,East Lake Housing Corporation
1599,A,Vine City Redevelopment,"Geocoded to 33.76076, -84.40993",Atlanta,GA,"Tyler Place Community Development Corporation, Inc."
1600,A,Washington St Apts,1034 Washington St,Atlanta,GA,SUMMECH Community Dev. Corp.
1601,A,Welcome House,234 Memorial Drive,Atlanta,GA,Progressive Redevelopment Inc
1602,A,Welcome House,234 Memorial Drive,Atlanta,GA,Progressive Redevelopment Inc
1603,A,Welcome House - SUB LOAN,234 Memorial Drive,Atlanta,GA,Progressive Redevelopment Inc
1604,A,Welcome House SRO,234 Memorial Drive SW,Atlanta,GA,Progressive Redevelopment Inc
1605,A,Workforce Housing,1387 Jonesboro Rd. SE,Atlanta,GA,Charis Community Housing
1606,A,Workforce Housing,1607 Lakewood Avenue,Atlanta,GA,Charis Community Housing
1607,A,Workforce Housing,1827 Lakewood Ave. SE,Atlanta,GA,Charis Community Housing
1608,A,Workforce Housing,1849 Lakewood Terrace Southeast,Atlanta,GA,Charis Community Housing
1609,A,Workforce Housing,61 Dorothy Street,Atlanta,GA,Charis Community Housing
1610,A,Workforce Housing,62 Dorothy St. SE,Atlanta,GA,Charis Community Housing
1611,A,Workforce Housing,64 Dorothy Street Southeast,Atlanta,GA,Charis Community Housing
1612,A,Workforce Housing,94 Thayer Avenue SE,Atlanta,GA,Charis Community Housing
1613,A,YouthBuild Habitat,1471 Nash Road,Atlanta,GA,CHI - Habitat for Humanity - Atlanta
1614,A,YouthBuild Habitat,2816 Lakewood Road,Atlanta,GA,CHI - Habitat for Humanity - Atlanta
1615,A,Connecticut & Carolina,Connecticut & Carolina Aves,Atlantic City,NJ,Community Investment Strategies
1616,A,Attica Townhomes,"79, 81, 83, 85, 87, 89 Colony Run",Attica,NY,Belmont Shelter Corp.
1617,A,Auburn Manor Apartments,102 10th St Ne,Auburn,WA,Low Income Housing Institute
1618,A,Bedell Village,889 Lunsford Drive,Auburn,AL,Alabama Council on Human Relations Inc.
1619,A,Court Street Senior Housing,108 Court St,Auburn,ME,"Realty Resources, Inc."
1620,A,Grace Ridge,950 Shelton Mill Road,Auburn,AL,Alabama Council on Human Relations Inc.
