name,address
Essie Jeffries Apartments HDFC,"531 W. 160TH STREET 
547 W. 160TH STREET 
500 W. 159TH STREET"
Exact Capital - Blondell Commons,1340 Blondell Avenue
ExchangeRight 26,Various
ExchangeRight 27,Various
ExchangeRight 28,Various
ExchangeRight 29,scattered sites
ExchangeRight 30,"AutoZone, Chicago, IL; Dollar General, Altoona, PA; Dollar General, San Angelo, TX; Dollar General, Copperas Cove, TX; Walgreens, Flourtown, PA; Tractor Supply, Canton, GA; Tractor Supply, Hammond, LA; Tractor Supply, Brunswick, GA; Giant Eagle, Homestead, PA; Giant Eagle, New Albany, OH; Dollar General, Baton Rouge, LA; Dollar General, Baton Rouge, LA; Dollar General, Mandeville, LA; Dollar General, Lafayette, LA; Tractor Supply, Canton, MI; Walgreens, New Berlin, WI; Walgreens, Sheboygan, WI; Walgreens, Waukesha, WI; Walgreens, Ypsilanti, MI; Fresenius Medical Care, Marrero, LA; Walgreens, Midland, MI; Dollar General, Stockbridge, GA; Hobby Lobby, Pearland, TX"
ExchangeRight 31,"6150 Egan Drive, Savage, MN; 5461 New Albany Road West, Albany, OH ; 6301 Veterans Parkway, Columbus, GA; 17 West Golf Road, Des Plaines, IL; 1199 West Dundee Road, Wheeling, IL; 463180 State Highway 200, Yulee, FL; 520 E Market Parkway, Belton, MO; 280 McMahan Boulevard, Marion, OH; 3120 Chicago Road, South Chicago Heights, IL; 3942 Navarre Avenue, Oregon, OH; 2131 East Laraway Road, New Lenox, IL; 16 Ridge Avenue, Danville, IN; 921 Lila Avenue, Milford, OH; 2422 College Avenue, Alton, IL; 506 Riverstone Parkway, Kankakee, IL; 2650 Cruse Road, Lawrenceville, GA; 7216 Brook Road, Richmond, VA; 3100 Dauphin Island Parkway, Mobile, AL; 1437 Highway 92 North, Fayetteville, GA; 2227 Garden City Boulevard SE, Roanoke, VA; 2370 Highway 155 North, McDonough, GA; 1109 South Gordon Street, Alvin, TX; 5768 Three Notch Road, Mobile, AL; 1455 Martin Luther King Drive, Prattville, AL; 3101 Mount Vernon Ave, Evansville, IN"
Executive Boulevard Industrial III,6094-6104 Executive Boulevard
Fairfax Business Center,"101, 102, 120 & 2100 Fairfax Rd. & 2015 Kaufelt St."
Fairview Gardens,3207 Franklin Blvd
Falcon Gateway,"4401, 4405 & 4409 E. McKellips Rd"
Falls of Hoover - Assumption,3900 Galleria Woods Drive
Fat Heads,17450 Engle Lake Drive
Fayette Square,637 Fayette Square
Fenton National City Portfolio,Various
Fernwood Apartments,18713 Central Point Road
Fiesta Center I,1313-1315 W. Lane Avenue
First Federal Plaza Lakewood,26614 Lorain Ave
First Plaza,1985 Tate Boulevard SE
"Five Star, Westland MI",5235 South Merriman Road
Fleming Court,1008 SW Fleming Court
Flock Apartments,865 Sanborn Avenue
Fond du Lac Reservation FDL Energy Efficient Home,1784 Jarvi Road
Fond du Lac Reservation FDL Energy Efficient Home,2737 Simon Road
Fond du Lac Reservation FDL Energy Efficient Home,7915 Simon Road
Foreclosure Redevelopment,1366 Lockhaven Circle S.W.
Foreclosure Redevelopment,1426 Thunderwood Lane S.W.
Foreclosure Redevelopment,960 Mayson Turner Road NW
Foreclosure Redevelopment,1209 Old Greystone Drive
Foreclosure Redevelopment,1410 Graymont Drive S.W.
Foreclosure Redevelopment,3396 Spring Valley Road
Foreclosure Redevelopment,5403 Ridge Forest Drive
Foreclosure Redevelopment,1703 Windy Ridge Court
Foreclosure Redevelopment,2000 Blayton Circle NW
Foreclosure Redevelopment,2229 Venetian Drive SW
Foreclosure Redevelopment,"233 Banberry Drive, SE"
Foreclosure Redevelopment,3106 Gwinnstone Circle
Foreclosure Redevelopment,3370 Lynfield Drive SW
Foreclosure Redevelopment,4435 Wood Hollow Court
Foreclosure Redevelopment,5370 Queen Ester Court
Foreclosure Redevelopment,110 White Acres Drive
Foreclosure Redevelopment,2634 Plantation Drive
Foreclosure Redevelopment,3958 Springleaf Drive
Foreclosure Redevelopment,4276 North Giles Road
Foreclosure Redevelopment,4564 Arbor Walk Court
Foreclosure Redevelopment,6929 Hickory Log Road
Foreclosure Redevelopment,2176 Pinehurst Drive
Foreclosure Redevelopment,302 Bromack Drive SE
Foreclosure Redevelopment,3715 Creekwood Drive
Foreclosure Redevelopment,6200 Shallowford Way
Foreclosure Redevelopment,1342 Akridge Street
Foreclosure Redevelopment,2436 Shoals Terrace
Foreclosure Redevelopment,5461 Station Circle
Foreclosure Redevelopment,5797 Cobbrook Drive
Foreclosure Redevelopment,5916 Earlwane Drive
Foreclosure Redevelopment,1096 Sharonton Way
Foreclosure Redevelopment,1871 Conrad Avenue
Foreclosure Redevelopment,1952 Fairburn Road
Foreclosure Redevelopment,2018 Northerly Way
